Metric,Scenario,Mean,Std,Min,Max,n
Average Delay,Baseline,45.221308015999995,1.0717755564027074,42.94008439,46.79156118,20
Average Delay,Naive,40.241856540499995,2.257028020151707,36.63037975,45.20084388,20
Average Delay,Rerouting,20.2342349955,1.9382653602074378,15.92645816,24.23330516,20
Crossing Delay,Baseline,75.72541660150002,6.073499609249607,61.78688525,85.35294118,20
Crossing Delay,Naive,71.31252085400001,13.149615828413253,51.31034483,109.3934426,20
Crossing Delay,Rerouting,36.740700084000004,7.841296989002649,23.24444444,58.38596491,20
Queue Length,Baseline,70.6,1.353358395757909,69.0,73.0,20
Queue Length,Naive,43.55,2.4165002967536595,39.0,49.0,20
Queue Length,Rerouting,44.6,2.6635947218196057,41.0,52.0,20
Speed Ratio Efficiency,Baseline,0.70362728065,0.0034981316247615062,0.699010628,0.713059419,20
Speed Ratio Efficiency,Naive,0.7143316153,0.003999817288284452,0.707416645,0.719813061,20
Speed Ratio Efficiency,Rerouting,0.7166090776,0.0052780511486627485,0.704140834,0.72758658,20
Vehicles Affected,Baseline,121.55,2.0641042405337657,119.0,128.0,20
Vehicles Affected,Naive,75.4,6.500202425997775,61.0,87.0,20
Vehicles Affected,Rerouting,74.75,9.486139473213704,57.0,95.0,20
Total Delay,Baseline,53587.25,1270.0540342835811,50884.0,55448.0,20
Total Delay,Naive,47686.6,2674.5782038334664,43407.0,53563.0,20
Total Delay,Rerouting,23937.1,2292.9679204495046,18841.0,28668.0,20
