metric,comparison,mean_x,mean_y,mean_diff,std_diff,t_stat,p_two_tailed,p_one_tailed,ci_low,ci_high,cohens_d,n
Average Delay,Baseline vs Rerouting,45.221308015999995,20.2342349955,24.9870730205,2.1364357762821724,52.304679085480295,5.315512185512167e-22,2.6577560927560837e-22,23.98719029880904,25.986955742190958,11.695681797644546,20
Average Delay,Naive vs Rerouting,40.241856540499995,20.2342349955,20.007621545,2.0410385618908955,43.838859958884875,1.4826144687515923e-20,7.413072343757961e-21,19.052386093976487,20.96285699602351,9.80266709241602,20
Crossing Delay,Baseline vs Rerouting,75.72541660150002,36.740700084000004,38.984716517500004,8.804031826472462,19.8028534959571,3.812894856325971e-14,1.9064474281629855e-14,34.8643027881315,43.105130246868505,4.428052656542943,20
Crossing Delay,Naive vs Rerouting,71.31252085400001,36.740700084000004,34.57182077,9.20529205699349,16.7957607143879,7.414171682449586e-13,3.707085841224793e-13,30.263611472024287,38.88003006797572,3.755646269119177,20
Queue Length,Baseline vs Rerouting,70.6,44.6,26.0,2.772040859423935,41.94582285275282,3.4018836485809756e-20,1.7009418242904878e-20,24.702644942604973,27.297355057395027,9.379371127091945,20
Queue Length,Naive vs Rerouting,43.55,44.6,-1.05,2.327750212679956,-2.0172880780637183,0.05801727605679733,0.9709913619716013,-2.139420634081228,0.039420634081227535,-0.4510793272750375,20
Speed Ratio Efficiency,Rerouting vs Baseline,0.7166090776,0.70362728065,0.012981796950000003,0.005888502398274605,9.859274391670459,6.609544270508443e-09,3.3047721352542216e-09,0.010225892995369301,0.015737700904630704,2.204600774859803,20
Speed Ratio Efficiency,Rerouting vs Naive,0.7166090776,0.7143316153,0.002277462300000005,0.004078971434160848,2.4969826835969027,0.0218791088303289,0.01093955441516445,0.0003684449054374491,0.004186479694562561,0.5583423019162523,20
Vehicles Affected,Baseline vs Rerouting,121.55,74.75,46.8,9.534425161376785,21.95160789995206,5.823486141067911e-15,2.9117430705339556e-15,42.337751667543195,51.2622483324568,4.90852874797142,20
Vehicles Affected,Naive vs Rerouting,75.4,74.75,0.65,8.67103466174961,0.33524123523261123,0.7411162160730973,0.37055810803654865,-3.4081691402652043,4.708169140265205,0.07496221908411163,20
Total Delay,Baseline vs Rerouting,53587.25,23937.1,29650.15,2528.3198972107107,52.44569804335955,5.052117376165341e-22,2.5260586880826704e-22,28466.859864067283,30833.44013593272,11.727214595237966,20
Total Delay,Naive vs Rerouting,47686.6,23937.1,23749.5,2417.24757567471,43.938814514527564,1.4203993601100335e-20,7.101996800550167e-21,22618.193310700637,24880.806689299363,9.825017610523805,20
