"Metric","Comparison","Mean_X","Mean_Y","Mean_Diff","Std_Diff","t_stat","p_value","CI_low","CI_high","Cohen_d","n"
"Average Delay","Baseline vs Rerouting","45.221","20.234","24.987","2.136","52.305","<0.001","23.987","25.987","11.696","20.000"
"Average Delay","Naive vs Rerouting","40.242","20.234","20.008","2.041","43.839","<0.001","19.052","20.963","9.803","20.000"
"Crossing Delay","Baseline vs Rerouting","75.725","36.741","38.985","8.804","19.803","<0.001","34.864","43.105","4.428","20.000"
"Crossing Delay","Naive vs Rerouting","71.313","36.741","34.572","9.205","16.796","<0.001","30.264","38.880","3.756","20.000"
"Queue Length","Baseline vs Rerouting","70.600","44.600","26.000","2.772","41.946","<0.001","24.703","27.297","9.379","20.000"
"Queue Length","Naive vs Rerouting","43.550","44.600","-1.050","2.328","-2.017","0.058","-2.139","0.039","-0.451","20.000"
"Speed Efficiency","Rerouting vs Baseline","0.717","0.704","0.013","0.006","9.859","<0.001","0.010","0.016","2.205","20.000"
"Speed Efficiency","Rerouting vs Naive","0.717","0.714","0.002","0.004","2.497","0.022","0.000","0.004","0.558","20.000"
"Vehicles Affected","Baseline vs Rerouting","121.550","74.750","46.800","9.534","21.952","<0.001","42.338","51.262","4.909","20.000"
"Vehicles Affected","Naive vs Rerouting","75.400","74.750","0.650","8.671","0.335","0.741","-3.408","4.708","0.075","20.000"
"Total Delay","Baseline vs Rerouting","53587.250","23937.100","29650.150","2528.320","52.446","<0.001","28466.860","30833.440","11.727","20.000"
"Total Delay","Naive vs Rerouting","47686.600","23937.100","23749.500","2417.248","43.939","<0.001","22618.193","24880.807","9.825","20.000"
