seed,scenario,average_delay,crossing_delay,queue_length,los,speed_ratio_efficiency,vehicles_affected,total_delay
1001,baseline,45.28101266,79.10655738,70,D,0.701359908,122,53658
1001,rerouting,19.58833474,31.8625,43,B,0.716838571,80,23173
1001,naive,41.1257384,69.7972973,43,D,0.712480818,74,48734
1002,baseline,45.0556962,79.39669421,71,D,0.70842783,121,53391
1002,rerouting,16.0397295,25.19565217,41,B,0.727038222,92,18975
1002,naive,39.57974684,68.36842105,40,D,0.719813061,76,46902
1003,baseline,42.94008439,61.78688525,71,D,0.709093548,122,50884
1003,rerouting,20.87658495,38.52941176,44,C,0.718512055,68,24697
1003,naive,37.24810127,57.65060241,43,D,0.718802569,83,44139
1004,baseline,46.00421941,73.98347107,69,D,0.700624162,121,54515
1004,rerouting,21.02874049,35.12987013,45,C,0.709374956,77,24877
1004,naive,39.00675105,62.91139241,45,D,0.71379335,79,46223
1005,baseline,45.45316456,72.62601626,69,D,0.699915819,123,53862
1005,rerouting,17.08453085,23.94736842,43,B,0.721701686,95,20211
1005,naive,38.25654008,67.53246753,43,D,0.7180756,77,45334
1006,baseline,46.42447257,76.15322581,70,D,0.699010628,124,55013
1006,rerouting,21.14370245,38.01408451,45,C,0.718614595,71,25013
1006,naive,40.31139241,72.67567568,43,D,0.716223383,74,47769
1007,baseline,45.35105485,77.79166667,70,D,0.704535109,120,53741
1007,rerouting,21.81910397,44.12307692,46,C,0.711859547,65,25812
1007,naive,40.58902954,84.87142857,45,D,0.713108091,70,48098
1008,baseline,45.04303797,74.7,69,D,0.703979698,120,53376
1008,rerouting,15.92645816,23.24444444,41,B,0.72758658,90,18841
1008,naive,37.37805907,58.14117647,44,D,0.719568806,85,44293
1009,baseline,46.79156118,80.73770492,71,D,0.700451202,122,55448
1009,rerouting,21.08622147,42.46478873,49,C,0.717087062,71,24945
1009,naive,41.78649789,70.90277778,44,D,0.714177927,72,49517
1010,baseline,46.25738397,80.87804878,73,D,0.700678177,123,54815
1010,rerouting,21.28994083,41.13888889,47,C,0.715774563,72,25186
1010,naive,42.73417722,82.64383562,47,D,0.709819083,73,50640
1011,baseline,46.03206751,85.35294118,71,D,0.704591399,119,54548
1011,rerouting,24.23330516,58.38596491,52,C,0.704140834,57,28668
1011,naive,45.20084388,109.3934426,49,D,0.707805,61,53563
1012,baseline,45.20590717,76.82352941,69,D,0.702183237,119,53569
1012,rerouting,20.56889265,36.76388889,42,C,0.71538838,72,24333
1012,naive,40.52995781,71.78873239,43,D,0.718228749,71,48028
1013,baseline,45.57721519,76.39669421,69,D,0.702255456,121,54009
1013,rerouting,20.7523246,41.2238806,45,C,0.715714177,67,24550
1013,naive,42.69535865,84.68115942,47,D,0.710321015,69,50594
1014,baseline,43.26075949,63.703125,73,D,0.704664725,128,51264
1014,rerouting,20.93322063,37.12328767,43,C,0.714142979,73,24764
1014,naive,39.43375527,63.38271605,41,D,0.714557917,81,46729
1015,baseline,45.94092827,84.59663866,71,D,0.706558979,119,54440
1015,rerouting,19.36263736,32.13580247,46,B,0.720866347,81,22906
1015,naive,37.53755274,60.69135802,41,D,0.717468373,81,44482
1016,baseline,44.41940928,71.23770492,70,D,0.702934562,122,52637
1016,rerouting,20.44970414,35.45333333,45,C,0.716524487,75,24192
1016,naive,41.72405063,70.46052632,43,D,0.709309763,76,49443
1017,baseline,45.36455696,75.04958678,71,D,0.703229603,121,53757
1017,rerouting,20.84784446,41.95714286,45,C,0.715717261,70,24663
1017,naive,42.97805907,85.78461538,45,D,0.707416645,65,50929
1018,baseline,45.73333333,79.95833333,73,D,0.703886171,120,54194
1018,rerouting,20.28402367,36.76056338,42,C,0.714438801,71,23996
1018,naive,41.2185654,71.93333333,42,D,0.71120874,75,48844
1019,baseline,45.26329114,75.96721311,70,D,0.701105981,122,53637
1019,rerouting,20.35587489,33.41975309,43,C,0.715021668,81,24081
1019,naive,38.87257384,61.32911392,44,D,0.717192074,79,46064
1020,baseline,43.02700422,68.26229508,72,D,0.713059419,122,50987
1020,rerouting,21.01352494,37.94029851,45,C,0.715838781,67,24859
1020,naive,36.63037975,51.31034483,39,D,0.717261342,87,43407
